pandas/core/frame.py  [1284 edits, last: 2014-09-11]
pandas/tests/test_frame.py  [967 edits, last: 2014-09-11]
pandas/core/series.py  [792 edits, last: 2014-09-12]
pandas/core/index.py  [615 edits, last: 2014-09-11]
pandas/tests/test_series.py  [523 edits, last: 2014-09-11]
pandas/core/groupby.py  [442 edits, last: 2014-09-11]
pandas/core/common.py  [422 edits, last: 2014-09-10]
pandas/core/internals.py  [415 edits, last: 2014-08-19]
pandas/io/parsers.py  [332 edits, last: 2014-09-11]
pandas/core/generic.py  [328 edits, last: 2014-09-12]
pandas/tests/test_groupby.py  [315 edits, last: 2014-09-10]
pandas/io/pytables.py  [313 edits, last: 2014-09-11]
pandas/core/panel.py  [306 edits, last: 2014-09-12]
pandas/tseries/tests/test_timeseries.py  [283 edits, last: 2014-09-11]
pandas/tools/plotting.py  [276 edits, last: 2014-09-12]
pandas/io/tests/test_pytables.py  [269 edits, last: 2014-09-11]
pandas/io/tests/test_parsers.py  [268 edits, last: 2014-09-08]
pandas/tseries/index.py  [243 edits, last: 2014-08-10]
pandas/tests/test_index.py  [240 edits, last: 2014-09-11]
pandas/core/format.py  [228 edits, last: 2014-09-10]
pandas/core/indexing.py  [217 edits, last: 2014-09-04]
pandas/tests/test_graphics.py  [199 edits, last: 2014-09-12]
pandas/tests/test_multilevel.py  [198 edits, last: 2014-08-13]
pandas/tests/test_panel.py  [195 edits, last: 2014-09-03]
pandas/util/testing.py  [180 edits, last: 2014-08-19]
pandas/tests/test_indexing.py  [176 edits, last: 2014-09-04]
pandas/tests/test_format.py  [173 edits, last: 2014-09-11]
pandas/tseries/period.py  [138 edits, last: 2014-09-10]
pandas/tools/merge.py  [135 edits, last: 2014-08-21]
pandas/tools/tests/test_merge.py  [135 edits, last: 2014-09-11]
pandas/tseries/tests/test_period.py  [128 edits, last: 2014-08-12]
pandas/core/datetools.py  [124 edits, last: 2014-04-22]
pandas/core/matrix.py  [112 edits, last: 2011-06-14]
pandas/core/reshape.py  [107 edits, last: 2014-09-11]
pandas/tseries/tests/test_timezones.py  [106 edits, last: 2014-08-12]
pandas/tseries/tests/test_resample.py  [100 edits, last: 2014-08-09]
pandas/core/sparse.py  [95 edits, last: 2013-11-16]
pandas/tests/test_common.py  [89 edits, last: 2014-08-09]
pandas/tseries/tests/test_plotting.py  [89 edits, last: 2014-09-11]
pandas/tests/test_tseries.py  [86 edits, last: 2014-08-06]
pandas/tseries/offsets.py  [85 edits, last: 2014-08-19]
pandas/io/sql.py  [82 edits, last: 2014-09-10]
pandas/stats/moments.py  [82 edits, last: 2014-09-03]
pandas/tools/rplot.py  [82 edits, last: 2013-08-16]
pandas/io/data.py  [80 edits, last: 2014-08-21]
pandas/sparse/frame.py  [80 edits, last: 2014-03-21]
pandas/tseries/frequencies.py  [80 edits, last: 2014-09-10]
pandas/core/nanops.py  [79 edits, last: 2014-06-24]
pandas/tseries/resample.py  [78 edits, last: 2014-07-07]
pandas/io/tests/test_sql.py  [75 edits, last: 2014-09-10]
pandas/sparse/tests/test_sparse.py  [74 edits, last: 2014-08-06]
pandas/stats/tests/test_moments.py  [74 edits, last: 2014-09-03]
pandas/stats/plm.py  [73 edits, last: 2014-07-14]
pandas/stats/tests/test_ols.py  [72 edits, last: 2014-07-14]
pandas/tseries/tools.py  [72 edits, last: 2014-08-04]
pandas/__init__.py  [69 edits, last: 2014-08-12]
pandas/core/algorithms.py  [69 edits, last: 2014-09-10]
pandas/stats/ols.py  [69 edits, last: 2013-09-28]
pandas/io/tests/test_excel.py  [68 edits, last: 2014-06-21]
pandas/tseries/tests/test_offsets.py  [67 edits, last: 2014-08-19]
pandas/src/generate_code.py  [63 edits, last: 2014-08-06]
pandas/core/strings.py  [59 edits, last: 2014-08-02]
pandas/tests/test_internals.py  [59 edits, last: 2014-08-06]
pandas/tools/tests/test_pivot.py  [56 edits, last: 2014-08-29]
pandas/tests/test_strings.py  [54 edits, last: 2014-08-02]
pandas/core/api.py  [53 edits, last: 2014-04-08]
pandas/tests/test_generic.py  [51 edits, last: 2014-09-11]
pandas/tools/pivot.py  [51 edits, last: 2014-08-23]
pandas/sparse/series.py  [50 edits, last: 2014-07-14]
pandas/core/config_init.py  [48 edits, last: 2014-08-02]
pandas/tseries/plotting.py  [47 edits, last: 2014-08-06]
pandas/io/tests/test_stata.py  [45 edits, last: 2014-08-21]
pandas/core/base.py  [44 edits, last: 2014-09-11]
pandas/core/config.py  [41 edits, last: 2014-07-09]
pandas/io/tests/test_html.py  [41 edits, last: 2014-09-03]
pandas/tests/test_panel4d.py  [40 edits, last: 2014-07-14]
pandas/computation/tests/test_eval.py  [37 edits, last: 2014-08-12]
pandas/io/excel.py  [37 edits, last: 2014-06-21]
pandas/io/stata.py  [37 edits, last: 2014-08-21]
pandas/io/tests/test_data.py  [37 edits, last: 2014-07-30]
pandas/io/tests/test_json/test_pandas.py  [37 edits, last: 2014-08-12]
pandas/tests/test_base.py  [36 edits, last: 2014-09-11]
pandas/tseries/tests/test_frequencies.py  [35 edits, last: 2014-08-12]
pandas/io/tests/test_cparser.py  [34 edits, last: 2014-05-18]
pandas/tools/tile.py  [33 edits, last: 2014-07-14]
pandas/tools/tests/test_tile.py  [33 edits, last: 2014-07-14]
pandas/computation/expr.py  [32 edits, last: 2014-06-01]
pandas/io/html.py  [32 edits, last: 2014-09-03]
pandas/tseries/converter.py  [32 edits, last: 2014-08-06]
pandas/core/categorical.py  [31 edits, last: 2014-09-11]
pandas/tseries/tests/test_daterange.py  [31 edits, last: 2014-08-06]
pandas/tests/test_rplot.py  [30 edits, last: 2013-11-27]
pandas/sparse/array.py  [28 edits, last: 2014-04-27]
pandas/sparse/panel.py  [28 edits, last: 2014-09-11]
pandas/stats/var.py  [28 edits, last: 2013-07-28]
pandas/io/tests/test_json/test_ujson.py  [27 edits, last: 2014-06-03]
pandas/tests/test_categorical.py  [27 edits, last: 2014-08-29]
pandas/tseries/tests/test_tslib.py  [27 edits, last: 2014-08-30]
pandas/core/ops.py  [26 edits, last: 2014-08-29]
pandas/io/json.py  [26 edits, last: 2014-01-22]
pandas/rpy/common.py  [26 edits, last: 2013-10-02]
pandas/tests/test_reshape.py  [26 edits, last: 2014-08-31]
pandas/util/decorators.py  [25 edits, last: 2014-09-09]
pandas/tests/test_algos.py  [24 edits, last: 2014-08-06]
pandas/computation/ops.py  [21 edits, last: 2014-05-20]
pandas/io/tests/test_pickle.py  [21 edits, last: 2014-08-06]
pandas/stats/fama_macbeth.py  [21 edits, last: 2013-07-28]
pandas/stats/interface.py  [21 edits, last: 2013-09-24]
pandas/tests/test_config.py  [21 edits, last: 2014-01-26]
pandas/tseries/tests/test_timedeltas.py  [21 edits, last: 2014-08-12]
pandas/computation/pytables.py  [20 edits, last: 2014-04-27]
pandas/sparse/tests/test_array.py  [20 edits, last: 2014-08-06]
pandas/tests/test_expressions.py  [19 edits, last: 2014-05-27]
pandas/util/print_versions.py  [19 edits, last: 2014-06-26]
pandas/core/panelnd.py  [18 edits, last: 2014-09-11]
pandas/computation/align.py  [17 edits, last: 2014-02-23]
pandas/computation/eval.py  [17 edits, last: 2014-08-12]
pandas/io/clipboard.py  [17 edits, last: 2014-02-04]
pandas/io/common.py  [17 edits, last: 2014-06-02]
pandas/io/wb.py  [17 edits, last: 2014-01-25]
